sample_id,task,dataset,model,prediction,confidence,response_time,correct
kpi_8,kpi_anomaly_detection,real_kpi,phi-3,anomaly,0.7826594970027576,2.578464394184839,True
kpi_9,kpi_anomaly_detection,real_kpi,gpt-4,anomaly,0.7813312679577236,1.0093272914324862,True
kpi_9,kpi_anomaly_detection,real_kpi,llama-3,anomaly,0.7158296484981218,3.2741306949371225,True
kpi_9,kpi_anomaly_detection,real_kpi,phi-3,anomaly,0.7731050011518714,1.3555320038989533,True
kpi_10,kpi_anomaly_detection,real_kpi,gpt-4,normal,0.7559167135134137,2.8522783334371535,False
kpi_10,kpi_anomaly_detection,real_kpi,llama-3,anomaly,0.7979057703265204,2.417390128154516,True
kpi_10,kpi_anomaly_detection,real_kpi,phi-3,anomaly,0.7963182633299788,2.3997647583894333,True
kpi_11,kpi_anomaly_detection,real_kpi,gpt-4,anomaly,0.7885615409241555,2.4905404866853313,True
kpi_11,kpi_anomaly_detection,real_kpi,llama-3,normal,0.9298765248633003,3.460393854759568,False
kpi_11,kpi_anomaly_detection,real_kpi,phi-3,normal,0.7867701853663696,3.3185524457010227,False
kpi_12,kpi_anomaly_detection,real_kpi,gpt-4,anomaly,0.7640514417818187,2.6560128831784744,True
kpi_12,kpi_anomaly_detection,real_kpi,llama-3,anomaly,0.8964708000640821,2.0801421240158042,True
kpi_12,kpi_anomaly_detection,real_kpi,phi-3,anomaly,0.8230450095739704,2.4920675287358716,True
kpi_13,kpi_anomaly_detection,real_kpi,gpt-4,anomaly,0.7395450977987426,1.2120039659538882,True
kpi_13,kpi_anomaly_detection,real_kpi,llama-3,anomaly,0.7109782009785757,2.1576891476320785,True
kpi_13,kpi_anomaly_detection,real_kpi,phi-3,normal,0.8545682519975403,3.3415583117127934,False
kpi_14,kpi_anomaly_detection,real_kpi,gpt-4,anomaly,0.752840512603137,1.3988058348315302,True
kpi_14,kpi_anomaly_detection,real_kpi,llama-3,anomaly,0.7902607521168641,1.9903186646770379,True
kpi_14,kpi_anomaly_detection,real_kpi,phi-3,anomaly,0.9249795044522796,1.7984812294426118,True
kpi_15,kpi_anomaly_detection,real_kpi,gpt-4,anomaly,0.9299656558443885,2.343061633003722,True
kpi_15,kpi_anomaly_detection,real_kpi,llama-3,normal,0.7644843956187691,1.8507614534257866,False
kpi_15,kpi_anomaly_detection,real_kpi,phi-3,normal,0.8963199504670978,2.90858668885172,False
kpi_16,kpi_anomaly_detection,real_kpi,gpt-4,anomaly,0.7428477890981982,2.3746496485302737,True
kpi_16,kpi_anomaly_detection,real_kpi,llama-3,normal,0.7327533056053525,3.2597937296711645,False
kpi_16,kpi_anomaly_detection,real_kpi,phi-3,anomaly,0.9400095250735181,1.2114042832121426,True
kpi_17,kpi_anomaly_detection,real_kpi,gpt-4,anomaly,0.8434266616645868,1.0804013763122,True
kpi_17,kpi_anomaly_detection,real_kpi,llama-3,anomaly,0.7230160424603891,2.3417397940062123,True
kpi_17,kpi_anomaly_detection,real_kpi,phi-3,anomaly,0.8713603218908017,1.789996812730053,True
kpi_18,kpi_anomaly_detection,real_kpi,gpt-4,anomaly,0.7974871473856837,2.602440486896958,True
kpi_18,kpi_anomaly_detection,real_kpi,llama-3,anomaly,0.8473103806215586,3.1156764073262186,True
kpi_18,kpi_anomaly_detection,real_kpi,phi-3,anomaly,0.7171954322853076,1.0236715719371543,True
kpi_19,kpi_anomaly_detection,real_kpi,gpt-4,anomaly,0.7011636209808977,1.0066033521890498,True
kpi_19,kpi_anomaly_detection,real_kpi,llama-3,anomaly,0.8602337648317252,2.868224824773884,True
kpi_19,kpi_anomaly_detection,real_kpi,phi-3,anomaly,0.7225407998160343,3.4504245753683636,True
